"id","type","category","product_category","brand","flavor","description","strength","vibes","in_stock","media_url"
"142","Магазин","Для себя","Табаки","Hell","Deathpunch","Ягодный пунш","3","напитки","true",""
"201","Магазин","Для себя","Табаки","Сарма 360","Пепси Вишня","Вкус вишневой колы","2","сладкий","true",""
"202","Магазин","Для себя","Табаки","Сарма 360","Лимон Лайм","Цитрусовый микс","2","кислый","true",""
"203","Магазин","Для себя","Табаки","Сарма 360","Кремовый Апельсин","Нежный апельсин","2","десерты","true",""
"204","Магазин","Для себя","Табаки","Сарма 360","Брусничное Пюре","Ягодное пюре","2","ягоды","true",""
"205","Магазин","Для себя","Табаки","Сарма 360","Кубики Манго","Сладкое манго","2","тропики","true",""
"206","Магазин","Для себя","Табаки","Сарма 360","Черника","Лесная черника","2","лесные_ягоды","true",""
"207","Магазин","Для себя","Табаки","Сарма 360","Тропический Милкшейк","Молочный коктейль","2","десерты","true",""
"208","Магазин","Для себя","Табаки","Сарма 360","Киндер Шоколад","Молочный шоколад","2","десерты","true",""
"209","Магазин","Для себя","Табаки","Сарма 360","Малина","Спелая малина","2","ягоды","true",""
"210","Магазин","Для себя","Табаки","Сарма 360","Желтый Арбуз","Сочный арбуз","2","летний","true",""
"211","Магазин","Для себя","Табаки","Сарма 360","Виноградная Крем Сода","Газировка с виноградом","2","напитки","true",""
"212","Магазин","Для себя","Табаки","Сарма 360","Клубника Манго","Ягодно-фруктовый микс","2","тропики","true",""
"401","Магазин","Для себя","Табаки","Overdose","Виноград","Спелый виноград","3","фрукты","true","images/catalog/401.png"
"402","Магазин","Для себя","Табаки","Overdose","Яблоко","Зеленое яблоко","3","фрукты","true","images/catalog/402.png"
"403","Магазин","Для себя","Табаки","Overdose","Амбровый банан","Спелый банан","3","десерты","true",""
"404","Магазин","Для себя","Табаки","Overdose","Черника года","Яркая черника","3","лесные_ягоды","true","images/catalog/404.png"
"405","Магазин","Для себя","Табаки","Overdose","Киви","Тропический киви","3","тропики","true","images/catalog/405.png"
"406","Магазин","Для себя","Табаки","Overdose","Розовый грейпфрут","Терпкий грейпфрут","3","кислый","true","images/catalog/406.png"
"407","Магазин","Для себя","Табаки","Overdose","Winter Green","Морозная свежесть","3","холод","true","images/catalog/407.png"
"408","Магазин","Для себя","Табаки","Overdose","Яблочный сок","Сок из яблок","3","напитки","true",""
"409","Магазин","Для себя","Табаки","Overdose","Клубника","Сладкая клубника","3","ягоды","true","images/catalog/409.png"
"410","Магазин","Для себя","Табаки","Overdose","Джин","Хвойный джин","3","напитки","true",""
"411","Магазин","Для себя","Табаки","Overdose","Аппероль шприц","Коктейль апероль","3","напитки","true","images/catalog/411.png"
"412","Магазин","Для себя","Табаки","Overdose","Арбуз","Сочный арбуз","3","летний","true","images/catalog/412.png"
"413","Магазин","Для себя","Табаки","Overdose","Frutela","Фруктовые конфеты","3","сладкий","true","images/catalog/413.png"
"414","Магазин","Для себя","Табаки","Overdose","Тропический лимонад","Лимонад с тропиками","3","напитки","true",""
"415","Магазин","Для себя","Табаки","Overdose","Домашняя груша","Сладкая груша","3","фрукты","true","images/catalog/415.png"
"416","Магазин","Для себя","Табаки","Overdose","Кактус Лайм","Кислый кактус","3","кислый","true","images/catalog/416.png"
"417","Магазин","Для себя","Табаки","Overdose","Виноградный джем","Сладкий джем","3","десерты","true","images/catalog/417.png"
"418","Магазин","Для себя","Табаки","Overdose","Лотос Вишня Земляника","Цветочный микс","3","ягоды","true","images/catalog/418.png"
"419","Магазин","Для себя","Табаки","Overdose","Филиппинская малина","Сочная малина","3","ягоды","true","images/catalog/419.png"
"420","Магазин","Для себя","Табаки","Overdose","Апельсиновая газировка","Апельсиновый лимонад","3","напитки","true","images/catalog/420.png"
"421","Магазин","Для себя","Табаки","Overdose","Персик","Сладкий персик","3","фрукты","true","images/catalog/421.png"
"422","Магазин","Для себя","Табаки","Overdose","Ананасовые кусочки","Сочный ананас","3","тропики","true","images/catalog/422.png"
"423","Магазин","Для себя","Табаки","Overdose","Самаркандская дыня","Спелая дыня","3","летний","true","images/catalog/423.png"
"424","Магазин","Для себя","Табаки","Overdose","Клубника Киви","Ягодно-фруктовый микс","3","фрукты","true","images/catalog/424.png"
"425","Магазин","Для себя","Табаки","Overdose","Вафли","Сладкие вафли","3","десерты","true","images/catalog/425.png"
"426","Магазин","Для себя","Табаки","Overdose","Дикая земляника","Лесная земляника","3","ягоды","true","images/catalog/426.png"
"427","Магазин","Для себя","Табаки","Overdose","Peach Ice","Ледяной персик","3","фрукты","true","images/catalog/427.png"
"428","Магазин","Для себя","Табаки","Overdose","Citrus Mix","Цитрусовый микс","3","кислый","true","images/catalog/428.png"
"601","Магазин","Для себя","Табаки","Sebero Black","Вишня","Спелая вишня","3","ягоды","true",""
"602","Магазин","Для себя","Табаки","Sebero Black","Манго йогурт","Сливочное манго","3","десерты","true",""
"603","Магазин","Для себя","Табаки","Sebero Black","Сок мульти Фрукт","Мультифруктовый сок","3","напитки","true",""
"604","Магазин","Для себя","Табаки","Sebero Black","Клубника","Сладкая клубника","3","ягоды","true",""
"605","Магазин","Для себя","Табаки","Sebero Black","Лимончелло","Алкогольный лимон","3","напитки","true",""
"606","Магазин","Для себя","Табаки","Sebero Black","Бабл-гам с цитрусом","Жвачка с цитрусом","3","сладкий","true",""
"607","Магазин","Для себя","Табаки","Sebero Black","Киви","Тропический киви","3","тропики","true",""
"608","Магазин","Для себя","Табаки","Sebero Black","Дыня абрикос ваниль","Сладкий фруктовый микс","3","фрукты","true",""
"609","Магазин","Для себя","Табаки","Sebero Black","Ананас","Сочный ананас","3","тропики","true",""
"610","Магазин","Для себя","Табаки","Sebero Black","Жвачка Ловис","Жвачка Love Is","3","сладкий","true",""
"611","Магазин","Для себя","Табаки","Sebero Black","Клубника гуава","Ягодно-тропический микс","3","тропики","true",""
"612","Магазин","Для себя","Табаки","Sebero Black","Малина","Спелая малина","3","ягоды","true",""
"613","Магазин","Для себя","Табаки","Sebero Black","Дикие ягоды","Микс лесных ягод","3","ягоды","true",""
"614","Магазин","Для себя","Табаки","Sebero Black","Ревень чёрная смородина","Кислый ягодный микс","3","ягоды","true",""
"615","Магазин","Для себя","Табаки","Sebero Black","Черника","Спелая черника","3","лесные_ягоды","true",""
"616","Магазин","Для себя","Табаки","Sebero Black","Красный скитлс","Фруктовые драже","3","сладкий","true",""
"617","Магазин","Для себя","Табаки","Sebero Black","Дюшес","Грушевый лимонад","3","напитки","true",""
"618","Магазин","Для себя","Табаки","Sebero Black","Фруктовый милкшейк","Молочный коктейль с фруктами","3","десерты","true",""
"619","Магазин","Для себя","Табаки","Sebero Black","Облепиховый чай","Чай с облепихой","3","напитки","true",""
"620","Магазин","Для себя","Табаки","Sebero Black","Кола","Классическая кола","3","напитки","true",""
"621","Магазин","Для себя","Табаки","Sebero Black","Виноград","Спелый виноград","3","фрукты","true",""
"622","Магазин","Для себя","Табаки","Sebero Black","Малиновый рафаэлло","Десерт с малиной","3","десерты","true",""
"623","Магазин","Для себя","Табаки","Sebero Black","Ежевика","Лесная ежевика","3","лесные_ягоды","true",""
"624","Магазин","Для себя","Табаки","Sebero Black","Голубика","Сочная голубика","3","лесные_ягоды","true",""
"801","Магазин","Для себя","Табаки","Sapphire","Ron.Do","Освежающий леденец","2","свежесть","true",""
"802","Магазин","Для себя","Табаки","Sapphire","Tropic mamba","Тропический микс","2","тропики","true",""
"803","Магазин","Для себя","Табаки","Sapphire","Lavender tropic","Тропики с лавандой","2","цветы","true",""
"804","Магазин","Для себя","Табаки","Sapphire","Kiwi fruit","Тропический киви","2","тропики","true",""
"805","Магазин","Для себя","Табаки","Sapphire","Bitter cherry","Горькая вишня","2","ягоды","true",""
"806","Магазин","Для себя","Табаки","Sapphire","Tropic juice","Тропический сок","2","напитки","true",""
"807","Магазин","Для себя","Табаки","Sapphire","Go bananas","Спелый банан","2","десерты","true",""
"808","Магазин","Для себя","Табаки","Sapphire","Pineapple funta","Ананасовая фанта","2","напитки","true","images/catalog/808.png"
"809","Магазин","Для себя","Табаки","Sapphire","Code red","Ягодный микс","2","ягоды","true",""
"810","Магазин","Для себя","Табаки","Sapphire","Cream soda","Крем-сода","2","напитки","true",""
"811","Магазин","Для себя","Табаки","Sapphire","Cherry energy","Вишневый энергетик","2","напитки","true",""
"812","Магазин","Для себя","Табаки","Sapphire","Alpine strawberry","Альпийская клубника","2","ягоды","true",""
"813","Магазин","Для себя","Табаки","Sapphire","Ripe mango","Спелое манго","2","тропики","true",""
"814","Магазин","Для себя","Табаки","Sapphire","Eden raspberry","Райская малина","2","ягоды","true",""
"815","Магазин","Для себя","Табаки","Sapphire","Passion fruit","Маракуйя","2","тропики","true",""
"816","Магазин","Для себя","Табаки","Sapphire","Lemon pie","Лимонный пирог","2","десерты","true",""
"817","Магазин","Для себя","Табаки","Sapphire","Lavender tropic kiwi","Тропический микс с киви","2","тропики","true",""
"818","Магазин","Для себя","Табаки","Sapphire","Ekzo","Экзотический микс","2","тропики","true","images/catalog/818.png"
"819","Магазин","Для себя","Табаки","Sapphire","Fragrant blackcurrant","Ароматная смородина","2","ягоды","true",""
"820","Магазин","Для себя","Табаки","Sapphire","Turbo","Арбузная жвачка","2","десерты","true",""
"821","Магазин","Для себя","Табаки","Sapphire","Velvet","Бархатный микс","2","фрукты","true",""
"501","Магазин","Для себя","Табаки","Black Burn","Кола","Классическая кола","3","напитки","true","images/catalog/501.png"
"502","Магазин","Для себя","Табаки","Black Burn","Медовая дыня","Сладкая дыня","3","летний","true","images/catalog/502.png"
"503","Магазин","Для себя","Табаки","Black Burn","Ананасовый йогурт","Сливочный ананас","3","тропики","true","images/catalog/503.png"
"504","Магазин","Для себя","Табаки","Black Burn","Спелая лесная малина","Лесная малина","3","ягоды","true","images/catalog/504.png"
"505","Магазин","Для себя","Табаки","Black Burn","Виноградный чупа-чупс","Виноградный леденец","3","сладкий","true","images/catalog/505.png"
"506","Магазин","Для себя","Табаки","Black Burn","Черешневый сок","Сок из черешни","3","напитки","true","images/catalog/506.png"
"507","Магазин","Для себя","Табаки","Black Burn","Леденец Малибу","Сладкий леденец","3","сладкий","true","images/catalog/507.png"
"508","Магазин","Для себя","Табаки","Black Burn","Лимонные леденцы","Кислые леденцы","3","кислый","true","images/catalog/508.png"
"509","Магазин","Для себя","Табаки","Black Burn","На Чилле","Тропический сок","3","напитки","true","images/catalog/509.png"
"510","Магазин","Для себя","Табаки","Black Burn","Что-то тропическое","Тропический микс","3","тропики","true","images/catalog/510.png"
"511","Магазин","Для себя","Табаки","Black Burn","Красный киви","Сладкий киви","3","фрукты","true","images/catalog/511.png"
"512","Магазин","Для себя","Табаки","Black Burn","Настоящая маракуйя","Спелая маракуйя","3","тропики","true","images/catalog/512.png"
"513","Магазин","Для себя","Табаки","Black Burn","Ягодная корзина","Микс лесных ягод","3","ягоды","true","images/catalog/513.png"
"514","Магазин","Для себя","Табаки","Black Burn","Сочное манго","Сладкое манго","3","тропики","true",""
"515","Магазин","Для себя","Табаки","Black Burn","Сладкий арбуз","Сахарный арбуз","3","летний","true",""
"516","Магазин","Для себя","Табаки","Black Burn","Тростниковая мята","Сладкая мята","3","свежесть","true","images/catalog/516.png"
"517","Магазин","Для себя","Табаки","Black Burn","Ягодный лимонад","Лимонад с ягодами","3","напитки","true","images/catalog/517.png"
"518","Магазин","Для себя","Табаки","Black Burn","Манго-маракуйя","Тропический микс","3","тропики","true","images/catalog/518.png"
"519","Магазин","Для себя","Табаки","Black Burn","Длинный Холс","Ментоловые леденцы","3","свежесть","true",""
"520","Магазин","Для себя","Табаки","Black Burn","Лимонад Байкал","Классический байкал","3","напитки","true","images/catalog/520.png"
"521","Магазин","Для себя","Табаки","Black Burn","Лимон-лайм","Цитрусовый микс","3","кислый","true",""
"522","Магазин","Для себя","Табаки","Black Burn","Ультра кислый лимон","Экстремально кислый лимон","3","кислый","true","images/catalog/522.png"
"523","Магазин","Для себя","Табаки","Black Burn","Цитрусовый микс","Микс цитрусов","3","кислый","true","images/catalog/523.png"
"524","Магазин","Для себя","Табаки","Black Burn","Кислый ананас","Кислый тропик","3","кислый","true","images/catalog/524.png"
"525","Магазин","Для себя","Табаки","Black Burn","Грейпфрут","Терпкий грейпфрут","3","кислый","true","images/catalog/525.png"
"526","Магазин","Для себя","Табаки","Black Burn","Смузи из киви","Фруктовый смузи","3","фрукты","true","images/catalog/526.png"
"527","Магазин","Для себя","Табаки","Black Burn","Бархатный персик","Нежный персик","3","фрукты","true","images/catalog/527.png"
"528","Магазин","Для себя","Табаки","Black Burn","Клубника кокос эвкалипт","Сложный микс","3","необычный","true","images/catalog/528.png"
"529","Магазин","Для себя","Табаки","Black Burn","Мармелад Кола","Мармелад со вкусом колы","3","десерты","true",""
"530","Магазин","Для себя","Табаки","Black Burn","Клубничный джем","Сладкий джем","3","десерты","true","images/catalog/530.png"
"531","Магазин","Для себя","Табаки","Black Burn","Бананини","Спелый банан","3","десерты","true",""
"532","Магазин","Для себя","Табаки","Black Burn","Что-то ягодное","Ягодный микс","3","ягоды","true","images/catalog/532.png"
"533","Магазин","Для себя","Табаки","Black Burn","Ёлка","Хвойный вкус","3","необычный","true","images/catalog/533.png"
"534","Магазин","Для себя","Табаки","Black Burn","Черничный йогурт","Сливочная черника","3","десерты","true",""
"535","Магазин","Для себя","Табаки","Black Burn","Шоколадный десерт","Сладкий шоколад","3","десерты","true","images/catalog/535.png"
"536","Магазин","Для себя","Табаки","Black Burn","Халва","Восточная сладость","3","десерты","true",""
"537","Магазин","Для себя","Табаки","Black Burn","Ледяное зелёное яблоко","Яблоко со льдом","3","холод","true","images/catalog/537.png"
"538","Магазин","Для себя","Табаки","Black Burn","Фисташковое мороженое","Десерт с фисташкой","3","десерты","true","images/catalog/538.png"
"539","Магазин","Для себя","Табаки","Black Burn","Персиковый йогурт","Нежный персик","3","десерты","true","images/catalog/539.png"
"540","Магазин","Для себя","Табаки","Black Burn","Миринда","Апельсиновая газировка","3","напитки","true","images/catalog/540.png"
"541","Магазин","Для себя","Табаки","Black Burn","Ice Baby","Ягодный сорбет с грейпфрутом","3","ягоды","true","images/catalog/541.png"
"542","Магазин","Для себя","Табаки","Black Burn","Луло","Колумбийский луло","3","необычный","true",""
"543","Магазин","Для себя","Табаки","Black Burn","Земляника-персик","Ягодно-фруктовый микс","3","фрукты","true","images/catalog/543.png"
"544","Магазин","Для себя","Табаки","Black Burn","Саркыт","Яблоко гранат персик","3","фрукты","true",""
"545","Магазин","Для себя","Табаки","Black Burn","Тик-Так","Драже из детства","3","свежесть","true","images/catalog/545.png"
"1201","Магазин","Для себя","Табаки","Chabacco","Арбузная жвачка","Сладкая арбузная жвачка","2","сладкий","true","images/chabacco/1201.png"
"1202","Магазин","Для себя","Табаки","Chabacco","Бузина","Цветочная бузина","2","цветы","true","images/chabacco/1202.png"
"1203","Магазин","Для себя","Табаки","Chabacco","Мармеладные мишки","Фруктовый мармелад","2","десерты","true","images/chabacco/1203.png"
"1204","Магазин","Для себя","Табаки","Chabacco","Смородиновый крамбл","Ягодная выпечка","2","десерты","true","images/chabacco/1204.png"
"1205","Магазин","Для себя","Табаки","Chabacco","Asia Mix","Азиатский микс","2","тропики","true",""
"1206","Магазин","Для себя","Табаки","Chabacco","Астраханский арбуз","Спелый арбуз","2","летний","true","images/chabacco/1206.png"
"1207","Магазин","Для себя","Табаки","Chabacco","Королевский лимонад","Освежающий лимонад","2","напитки","true","images/chabacco/1207.png"
"1208","Магазин","Для себя","Табаки","Chabacco","Северные ягоды","Лесные ягоды","2","ягоды","true","images/chabacco/1208.png"
"1209","Магазин","Для себя","Табаки","Chabacco","Малина","Спелая малина","2","ягоды","true","images/chabacco/1209.png"
"1210","Магазин","Для себя","Табаки","Chabacco","Ice Bon Bon","Ледяные леденцы","2","холод","true",""
"1211","Магазин","Для себя","Табаки","Chabacco","Вишнёвая кола","Кола с вишней","2","напитки","true","images/chabacco/1211.png"
"1212","Магазин","Для себя","Табаки","Chabacco","Чёрная смородина","Лесная смородина","2","ягоды","true",""
"1213","Магазин","Для себя","Табаки","Chabacco","Фруктовый лёд","Ледяной десерт","2","свежесть","true","images/chabacco/1213.png"
"1214","Магазин","Для себя","Табаки","Chabacco","Ананас","Сочный ананас","2","тропики","true","images/chabacco/1214.png"
"1215","Магазин","Для себя","Табаки","Chabacco","Киви яблоко крыжовник","Фруктово-ягодный микс","2","фрукты","true","images/chabacco/1215.png"
"1216","Магазин","Для себя","Табаки","Chabacco","Морозная мята","Ледяная мята","2","свежесть","true","images/chabacco/1216.png"
"1217","Магазин","Для себя","Табаки","Chabacco","Маракуйя","Тропическая маракуйя","2","тропики","true","images/chabacco/1217.png"
"1218","Магазин","Для себя","Табаки","Chabacco","Черника с мятой","Ягодная мята","2","свежесть","true","images/chabacco/1218.png"
"1219","Магазин","Для себя","Табаки","Chabacco","Дикая вишня","Спелая вишня","2","ягоды","true","images/chabacco/1219.png"
"1220","Магазин","Для себя","Табаки","Chabacco","Клюква в сахарной пудре","Сладкая клюква","2","сладкий","true","images/chabacco/1220.png"
"1221","Магазин","Для себя","Табаки","Chabacco","Лимонные дольки","Цитрусовый десерт","2","кислый","true","images/chabacco/1221.png"
"1222","Магазин","Для себя","Табаки","Chabacco","Молочный улун","Чайный вкус","2","чайный","true","images/chabacco/1222.png"
"1223","Магазин","Для себя","Табаки","Chabacco","Лимон лайм","Цитрусовый микс","2","кислый","true","images/chabacco/1223.png"
"1224","Магазин","Для себя","Табаки","Chabacco","Кислое желе","Кисло-сладкий мармелад","2","десерты","true","images/chabacco/1224.png"
"1225","Магазин","Для себя","Табаки","Chabacco","Frutella","Фруктовые конфеты","2","сладкий","true",""
"1226","Магазин","Для себя","Табаки","Chabacco","Малина ежевика","Ягодный микс","2","ягоды","true","images/chabacco/1226.png"
"1227","Магазин","Для себя","Табаки","Chabacco","Ледяной манго","Манго со льдом","2","тропики","true","images/chabacco/1227.png"
"1228","Магазин","Для себя","Табаки","Chabacco","Кола","Классическая кола","2","напитки","true","images/chabacco/1228.png"
"1229","Магазин","Для себя","Табаки","Chabacco","Кислая брусника","Кислые лесные ягоды","2","ягоды","true","images/chabacco/1229.png"
"1230","Магазин","Для себя","Табаки","Chabacco","Персик лайм","Фруктово-цитрусовый микс","2","фрукты","true","images/chabacco/1230.png"
"1231","Магазин","Для себя","Табаки","Chabacco","Апельсиновое драже","Апельсиновые конфеты","2","десерты","true","images/chabacco/1231.png"
"1232","Магазин","Для себя","Табаки","Chabacco","Клубничный мохито","Ягодный коктейль","2","напитки","true","images/chabacco/1232.png"
"1233","Магазин","Для себя","Табаки","Chabacco","Двойное яблоко","Классический вкус","2","фрукты","true","images/chabacco/1233.png"
"1234","Магазин","Для себя","Табаки","Chabacco","Персик абрикос","Сладкие фрукты","2","фрукты","true","images/chabacco/1234.png"
"1235","Магазин","Для себя","Табаки","Chabacco","Клубничный милкшейк","Молочный коктейль с клубникой","2","десерты","true","images/chabacco/1235.png"
"1236","Магазин","Для себя","Табаки","Chabacco","Банановый милкшейк","Молочный коктейль с бананом","2","десерты","true","images/chabacco/1236.png"
"1237","Магазин","Для себя","Табаки","Chabacco","Освежающий виноград","Ледяной виноград","2","фрукты","true","images/chabacco/1237.png"
"1238","Магазин","Для себя","Табаки","Chabacco","Виноградные леденцы","Сладкие леденцы","2","сладкий","true","images/chabacco/1238.png"
"1239","Магазин","Для себя","Табаки","Chabacco","Фруктово-ягодный джем","Сладкий джем","2","десерты","true","images/chabacco/1239.png"
"1240","Магазин","Для себя","Табаки","Chabacco","Грушевые леденцы","Конфеты со вкусом груши","2","сладкий","true","images/chabacco/1240.png"
"1241","Магазин","Для себя","Табаки","Chabacco","Медовые ягоды","Ягоды с медом","2","ягоды","true","images/chabacco/1241.png"
"1242","Магазин","Для себя","Табаки","Chabacco","Грейпфрут","Терпкий цитрус","2","кислый","true","images/chabacco/1242.png"
"1243","Магазин","Для себя","Табаки","Chabacco","Вишня","Спелая вишня","2","ягоды","true","images/chabacco/1243.png"
"1244","Магазин","Для себя","Табаки","Chabacco","Земляника","Лесная земляника","2","ягоды","true","images/chabacco/1244.png"
"1245","Магазин","Для себя","Табаки","Chabacco","Китайская дыня","Сладкая дыня","2","летний","true","images/chabacco/1245.png"
"1246","Магазин","Для себя","Табаки","Chabacco","Кремовый энергетик","Сладкий напиток","2","напитки","true","images/chabacco/1246.png"
"1247","Магазин","Для себя","Табаки","Chabacco","Тропик лав","Тропический микс","2","тропики","true","images/chabacco/1247.png"
"1248","Магазин","Для себя","Табаки","Chabacco","Ягодный холс","Ягодные леденцы","2","свежесть","true",""
"1249","Магазин","Для себя","Табаки","Chabacco","Леденцы со смородиной","Смородиновые конфеты","2","десерты","true","images/chabacco/1249.png"
"1250","Магазин","Для себя","Табаки","Chabacco","Личи","Тропический личи","2","тропики","true","images/chabacco/1250.png"
"1251","Магазин","Для себя","Табаки","Chabacco","Малиновый рафаэлло","Десерт с малиной","2","десерты","true",""
"1301","Магазин","Для себя","Табаки","Aureus","Virginia Gold","Сухофрукты и мёд","2","премиум","true",""
"1302","Магазин","Для себя","Табаки","Aureus","Ruby","Сорбет малина черника клубника","2","ягоды","true",""
"1303","Магазин","Для себя","Табаки","Aureus","Helios","Сорбет ананас маракуйя персик","2","тропики","true",""
"1304","Магазин","Для себя","Табаки","Aureus","Kallisti","Сорбет ананас груша яблоко","2","фрукты","true",""
"1305","Магазин","Для себя","Табаки","Aureus","Aurora","Кисло-сладкие ананасовые колечки","2","тропики","true",""
"1306","Магазин","Для себя","Табаки","Aureus","Carmine","Сок из черешни клубники малины","2","ягоды","true",""
"1307","Магазин","Для себя","Табаки","Aureus","Flora","Свежие ягоды клубники и земляники","2","ягоды","true",""
"1308","Магазин","Для себя","Табаки","Aureus","Redes","Pinkman микс","2","ягоды","true",""
"1309","Магазин","Для себя","Табаки","Aureus","Solaris","Спелое сладкое манго","2","тропики","true",""
"1310","Магазин","Для себя","Табаки","Aureus","Dionysius","Желе из чёрного винограда","2","десерты","true",""
